,benchmark,label,runtime,runtime_label,error,error_label
0,cg,VALID,1.29836,0, 1.7130235054030E+01,1
1,cg,INVALID,1.244174,1,                 INF,0
2,cg,INVALID,1.266276,1,                 NAN,0
3,cg,INVALID,4.406865,0, 2.0000000000000E+01,0
4,cg,INVALID,1.224292,1,                -NAN,0
5,cg,INVALID,3.174019,0, 9.6209511160851E-02,0
6,cg,INVALID,1.21207,1,                 NAN,0
7,cg,INVALID,1.272219,1, 2.0000000318778E+01,0
8,cg,INVALID,4.406243,0, 2.0000000000000E+01,0
9,cg,INVALID,1.233029,1,                 NAN,0
10,cg,INVALID,1.253742,1,                 INF,0
11,cg,VALID,1.1958092,1, 1.7129574733919E+01,1
12,cg,INVALID,1.227695,1,                 NAN,0
13,cg,INVALID,4.433898,0, 2.0000000000000E+01,0
14,cg,INVALID,1.183401,1,                 INF,0
15,cg,INVALID,6.316102,0, 1.3275969028473E+00,0
16,cg,INVALID,1.168217,1,                 NAN,0
17,cg,INVALID,3.701609,0, 1.9999999999971E+01,0
18,cg,INVALID,1.254355,1,                -NAN,0
19,cg,INVALID,1.385768,0,-2.4588031102108E+32,0
20,cg,INVALID,1.598188,0,                 INF,0
21,cg,INVALID,1.242989,1,                -NAN,0
22,cg,INVALID,1.262757,1,                 INF,0
23,cg,INVALID,5.754024,0, 1.3275969419423E+00,0
24,cg,INVALID,1.178577,1,                 INF,0
25,cg,INVALID,5.313101,0, 1.2650092124939E+01,0
26,cg,INVALID,1.11042,1,                 NAN,0
27,cg,INVALID,1.236659,1, 2.0000000000000E+01,0
28,cg,INVALID,1.17532,1,                 INF,0
29,cg,VALID,1.2071519999999998,1, 1.7130087024769E+01,1
30,cg,INVALID,1.310909,1,                -NAN,0
31,cg,INVALID,1.381256,0,-2.4588031102108E+32,0
32,cg,INVALID,1.639655,0,                 INF,0
33,cg,INVALID,1.25969,1,                -NAN,0
34,cg,INVALID,1.490417,0,                 INF,0
35,cg,INVALID,5.755224,0, 1.3275716879745E+00,0
36,cg,INVALID,1.230269,1,                 INF,0
37,cg,VALID,1.2586655,1, 1.7129568099976E+01,1
38,cg,INVALID,1.239749,1,                 INF,0
39,cg,INVALID,5.215493,0, 1.2650091821032E+01,0
40,cg,INVALID,1.310576,1,                 INF,0
41,cg,INVALID,1.241137,1, 1.9999999999750E+01,0
42,cg,INVALID,1.460966,0,                 INF,0
43,cg,VALID,1.3098935999999999,1, 1.7130084459314E+01,1
44,cg,INVALID,1.247991,1,                 INF,0
45,cg,VALID,1.2363758,1, 1.7129574733919E+01,1
46,cg,INVALID,1.277068,1,                -NAN,0
47,cg,INVALID,1.379355,0,-2.4588019120659E+32,0
48,cg,INVALID,1.264065,1,                 INF,0
49,cg,INVALID,1.312319,1,                -NAN,0
50,cg,INVALID,1.449685,0,                 INF,0
51,cg,INVALID,1.235495,1,                 NAN,0
52,cg,INVALID,1.241537,1,                 INF,0
53,cg,VALID,1.3203809,1, 1.7129574733919E+01,1
54,cg,INVALID,1.271437,1,                 INF,0
55,cg,INVALID,5.796721,0, 1.3275716879745E+00,0
56,cg,INVALID,1.243116,1,                 INF,0
57,cg,VALID,1.2330991999999998,1, 1.7129567715247E+01,1
58,cg,INVALID,1.207921,1,                 INF,0
59,cg,VALID,1.2633188999999998,1, 1.7129573822021E+01,1
60,cg,INVALID,1.186276,1,                 INF,0
61,cg,VALID,1.2353411,1, 1.7129574733919E+01,1
62,cg,INVALID,1.220452,1,                 INF,0
63,cg,INVALID,5.252257,0, 1.2650091821032E+01,0
64,cg,INVALID,1.223029,1,                 INF,0
65,cg,VALID,1.1456534,1, 1.7129574806909E+01,1
66,cg,INVALID,1.199623,1,                 INF,0
67,cg,INVALID,1.295817,1, 2.8858293492013E+01,0
68,cg,INVALID,1.213061,1,                 INF,0
69,cg,VALID,1.3039733999999998,1, 1.7129571575736E+01,1
70,cg,INVALID,1.229006,1,                 INF,0
71,cg,VALID,1.2624307,1, 1.7130087024769E+01,1
72,cg,INVALID,1.252467,1,                 INF,0
73,cg,VALID,1.2507803000000002,1, 1.7129574733919E+01,1
74,cg,INVALID,1.23043,1,                 INF,0
75,cg,VALID,1.2244685,1, 1.7129574733919E+01,1
76,cg,INVALID,1.203448,1,                -NAN,0
77,cg,INVALID,1.326902,1,-2.4588192949862E+32,0
78,cg,INVALID,1.206829,1,                 INF,0
79,cg,VALID,1.2984366,1, 1.7129574741378E+01,1
80,cg,INVALID,1.223116,1,                 INF,0
81,cg,VALID,1.2689590999999998,1, 1.7129574733919E+01,1
82,cg,INVALID,1.195315,1,                 INF,0
83,cg,INVALID,1.231959,1,                -NAN,0
84,cg,INVALID,3.452115,0,                 NAN,0
85,cg,INVALID,1.179248,1,                 NAN,0
86,cg,INVALID,1.220738,1,                 INF,0
87,cg,VALID,3.3575291,0, 1.7129574685671E+01,1
88,cg,INVALID,1.256969,1,                 INF,0
89,cg,INVALID,4.466079,0, 2.0000000000000E+01,0
90,cg,INVALID,1.249121,1,                 INF,0
91,cg,INVALID,5.829225,0, 1.3275969028473E+00,0
92,cg,INVALID,1.190725,1,                 NAN,0
93,cg,INVALID,3.770919,0, 1.9999999999971E+01,0
94,cg,INVALID,1.259882,1,                -NAN,0
95,cg,INVALID,1.367638,0,                 INF,0
96,cg,INVALID,1.434281,0,                 INF,0
97,cg,INVALID,1.224647,1,                 NAN,0
98,cg,INVALID,1.25371,1,                 INF,0
99,cg,INVALID,5.886306,0, 1.3275969419423E+00,0
100,cg,INVALID,1.243508,1,                 INF,0
101,cg,INVALID,5.330153,0, 1.2650092124939E+01,0
102,cg,INVALID,1.214659,1,                 INF,0
103,cg,INVALID,1.252188,1, 2.0000000000122E+01,0
104,cg,INVALID,1.220822,1,                -NAN,0
105,cg,INVALID,1.349988,1,-2.4588192946758E+32,0
106,cg,INVALID,1.266772,1,                 INF,0
107,cg,INVALID,1.271835,1,                 NAN,0
108,cg,INVALID,1.407228,0,                 INF,0
109,cg,INVALID,1.243381,1,                 NAN,0
110,cg,INVALID,1.264919,1,                 INF,0
111,cg,INVALID,5.867035,0, 1.3275716990513E+00,0
112,cg,INVALID,1.275113,1,                 INF,0
113,cg,VALID,1.1332185,1, 1.7129568099976E+01,1
114,cg,INVALID,1.231623,1,                 INF,0
115,cg,INVALID,5.317058,0, 1.2650091872938E+01,0
116,cg,INVALID,1.175887,1,                -NAN,0
117,cg,INVALID,1.262745,1, 2.0000000000000E+01,0
118,cg,INVALID,1.295246,1,                 INF,0
119,cg,VALID,1.1183286000000001,1, 1.7130087026259E+01,1
120,cg,INVALID,1.191513,1,                -NAN,0
121,cg,INVALID,1.328596,1,-2.4588192946758E+32,0
122,cg,INVALID,1.193502,1,                 INF,0
123,cg,VALID,1.232398,1, 1.7129574813896E+01,1
124,cg,INVALID,3.593915,0,                 INF,0
125,cg,INVALID,1.23084,1,                 NAN,0
126,cg,INVALID,1.234801,1,                 INF,0
127,cg,VALID,3.3185128000000006,0, 1.7129574777865E+01,1
128,cg,INVALID,1.255104,1,                 NAN,0
129,cg,INVALID,4.507357,0, 2.0000000000000E+01,0
130,cg,INVALID,1.301925,1,                 INF,0
131,cg,INVALID,5.884567,0, 1.3276488780975E+00,0
132,cg,INVALID,1.244505,1,                 INF,0
133,cg,INVALID,3.81393,0, 1.9999999999971E+01,0
134,cg,INVALID,1.315949,1,                -NAN,0
135,cg,INVALID,1.544862,0,-2.4544674272731E+32,0
136,cg,INVALID,1.636208,0,                 INF,0
137,cg,INVALID,1.244167,1,                 NAN,0
138,cg,INVALID,1.236436,1,                 INF,0
139,cg,INVALID,5.826014,0, 1.3276403040067E+00,0
140,cg,INVALID,1.27442,1,                 INF,0
141,cg,VALID,1.1451187,1, 1.7130086898804E+01,1
142,cg,INVALID,1.277474,1,                 INF,0
143,cg,INVALID,5.351902,0, 1.2650453047177E+01,0
144,cg,INVALID,1.234826,1,                -NAN,0
145,cg,INVALID,1.277075,1, 2.0000000000122E+01,0
