,benchmark,label,runtime,runtime_label,error,error_label
0,mg,VALID,1.1144352,0, 2.4333653090693E-06,1
1,mg,FAIL,9999.0,0,,0
2,mg,FAIL,9999.0,0,,0
3,mg,INVALID,1.935966,0, 0.0000000000000E+00,0
4,mg,INVALID,1.078698,1,2.4960943455156E-315,0
5,mg,INVALID,6.534258,0,5.2986217418354E-311,0
6,mg,FAIL,9999.0,0,,0
7,mg,INVALID,1.177683,0,2.4155311317492E-315,0
8,mg,FAIL,9999.0,0,,0
9,mg,FAIL,9999.0,0,,0
10,mg,INVALID,2.145282,0, 0.0000000000000E+00,0
11,mg,INVALID,1.07581,1, 9.6689470005312E-05,0
12,mg,INVALID,1.076453,1,2.4156120794646E-315,0
13,mg,FAIL,9999.0,0,,0
14,mg,FAIL,9999.0,0,,0
15,mg,INVALID,1.093933,1, 4.6818145127208E-06,0
16,mg,FAIL,9999.0,0,,0
17,mg,INVALID,1.12376,1,2.4385809937135E-315,0
18,mg,FAIL,9999.0,0,,0
19,mg,FAIL,9999.0,0,,0
20,mg,FAIL,9999.0,0,,0
21,mg,FAIL,9999.0,0,,0
22,mg,FAIL,9999.0,0,,0
23,mg,VALID,1.0887229999999999,1, 2.4333653090693E-06,1
24,mg,INVALID,1.265215,0, 0.0000000000000E+00,0
25,mg,INVALID,1.076246,1, 2.4768307849639E-04,0
26,mg,INVALID,1.923114,0, 8.3139402704546E-06,0
27,mg,INVALID,1.276639,0,                 NAN,0
28,mg,INVALID,1.072472,1,2.4730647204802E-315,0
29,mg,INVALID,1.193218,0,5.2975620229287E-311,0
30,mg,FAIL,9999.0,0,,0
31,mg,INVALID,1.152206,1,2.4701303657964E-315,0
32,mg,FAIL,9999.0,0,,0
33,mg,FAIL,9999.0,0,,0
34,mg,INVALID,1.281283,0, 0.0000000000000E+00,0
35,mg,INVALID,1.078944,1, 3.6145510016883E-04,0
36,mg,INVALID,1.072583,1,2.4375691472709E-315,0
37,mg,FAIL,9999.0,0,,0
38,mg,FAIL,9999.0,0,,0
39,mg,INVALID,1.089034,1, 4.6818145127208E-06,0
40,mg,FAIL,9999.0,0,,0
41,mg,INVALID,1.119181,1,2.5034201137607E-315,0
42,mg,FAIL,9999.0,0,,0
43,mg,FAIL,9999.0,0,,0
44,mg,FAIL,9999.0,0,,0
45,mg,FAIL,9999.0,0,,0
46,mg,INVALID,1.367811,0, 0.0000000000000E+00,0
47,mg,INVALID,1.934292,0, 1.7432714379103E-03,0
48,mg,INVALID,1.211656,0,2.3819580667810E-315,0
49,mg,FAIL,9999.0,0,,0
50,mg,INVALID,1.177055,0, 0.0000000000000E+00,0
51,mg,INVALID,1.417396,0,                 NAN,0
52,mg,FAIL,9999.0,0,,0
53,mg,INVALID,1.084814,1, 4.6818145127208E-06,0
54,mg,FAIL,9999.0,0,,0
55,mg,INVALID,1.109477,1,2.4354037958835E-315,0
56,mg,FAIL,9999.0,0,,0
57,mg,INVALID,1.174641,0,                -NAN,0
58,mg,FAIL,9999.0,0,,0
59,mg,INVALID,1.086707,1, 1.8720076561198E-08,0
60,mg,FAIL,9999.0,0,,0
61,mg,VALID,1.0795322,1, 2.4333653527719E-06,1
62,mg,FAIL,9999.0,0,,0
63,mg,FAIL,9999.0,0,,0
64,mg,INVALID,1.296672,0, 0.0000000000000E+00,0
65,mg,INVALID,1.081642,1, 5.5700061114133E-04,0
66,mg,INVALID,1.445444,0, 8.3139402704546E-06,0
67,mg,INVALID,1.475106,0,                -NAN,0
68,mg,INVALID,1.109205,1,2.5219369036617E-315,0
69,mg,FAIL,9999.0,0,,0
70,mg,FAIL,9999.0,0,,0
71,mg,INVALID,1.106826,1,2.4295553234448E-315,0
72,mg,FAIL,9999.0,0,,0
73,mg,INVALID,1.11842,1,                -NAN,0
74,mg,INVALID,1.2377,0, 0.0000000000000E+00,0
75,mg,FAIL,9999.0,0,,0
76,mg,INVALID,1.048312,1,2.3685409829510E-315,0
77,mg,FAIL,9999.0,0,,0
78,mg,INVALID,1.173305,0, 0.0000000000000E+00,0
79,mg,INVALID,5.488118,0,                -NAN,0
80,mg,FAIL,9999.0,0,,0
81,mg,INVALID,1.083777,1, 4.6818145165162E-06,0
82,mg,FAIL,9999.0,0,,0
83,mg,INVALID,1.109302,1,2.5229082762467E-315,0
84,mg,FAIL,9999.0,0,,0
85,mg,INVALID,1.169368,1,                -NAN,0
86,mg,FAIL,9999.0,0,,0
