:ID,:LABEL,:DATATYPE,:NAME,:LINE
0,CONTROL_STRUCTURE,,FOR,
1,CONTROL_STRUCTURE,,IF,
2,CONTROL_STRUCTURE,,ELSE,
3,CONTROL_STRUCTURE,,IF,
4,CONTROL_STRUCTURE,,WHILE,
5,CONTROL_STRUCTURE,,WHILE,
6,CONTROL_STRUCTURE,,WHILE,
7,CONTROL_STRUCTURE,,FOR,
8,CONTROL_STRUCTURE,,ELSE,
9,CONTROL_STRUCTURE,,FOR,
10,CONTROL_STRUCTURE,,IF,
11,CONTROL_STRUCTURE,,ELSE,
12,CONTROL_STRUCTURE,,IF,
13,CONTROL_STRUCTURE,,ELSE,
14,CONTROL_STRUCTURE,,IF,
15,CONTROL_STRUCTURE,,ELSE,
16,CONTROL_STRUCTURE,,IF,
17,CONTROL_STRUCTURE,,ELSE,
18,CONTROL_STRUCTURE,,IF,
19,CONTROL_STRUCTURE,,ELSE,
20,CONTROL_STRUCTURE,,IF,
21,CONTROL_STRUCTURE,,ELSE,
22,CONTROL_STRUCTURE,,IF,
23,CONTROL_STRUCTURE,,ELSE,
24,CONTROL_STRUCTURE,,IF,
25,CONTROL_STRUCTURE,,ELSE,
26,CONTROL_STRUCTURE,,IF,
27,CONTROL_STRUCTURE,,ELSE,
28,CONTROL_STRUCTURE,,FOR,
29,CONTROL_STRUCTURE,,IF,
30,CONTROL_STRUCTURE,,IF,
31,CONTROL_STRUCTURE,,FOR,
32,CONTROL_STRUCTURE,,IF,
33,CONTROL_STRUCTURE,,IF,
34,CONTROL_STRUCTURE,,IF,
35,CONTROL_STRUCTURE,,IF,
36,CONTROL_STRUCTURE,,IF,
37,CONTROL_STRUCTURE,,IF,
38,CONTROL_STRUCTURE,,IF,
39,CONTROL_STRUCTURE,,ELSE,
40,CONTROL_STRUCTURE,,IF,
41,CONTROL_STRUCTURE,,ELSE,
42,CONTROL_STRUCTURE,,IF,
43,CONTROL_STRUCTURE,,ELSE,
44,CONTROL_STRUCTURE,,IF,
45,CONTROL_STRUCTURE,,ELSE,
46,CONTROL_STRUCTURE,,IF,
47,CONTROL_STRUCTURE,,ELSE,
48,CONTROL_STRUCTURE,,IF,
49,CONTROL_STRUCTURE,,ELSE,
50,CONTROL_STRUCTURE,,IF,
51,CONTROL_STRUCTURE,,IF,
52,CONTROL_STRUCTURE,,ELSE,
53,CONTROL_STRUCTURE,,ELSE,
54,CONTROL_STRUCTURE,,IF,
55,CONTROL_STRUCTURE,,ELSE,
56,CONTROL_STRUCTURE,,IF,
57,CONTROL_STRUCTURE,,IF,
58,CONTROL_STRUCTURE,,FOR,
59,CONTROL_STRUCTURE,,IF,
60,CONTROL_STRUCTURE,,ELSE,
61,CONTROL_STRUCTURE,,FOR,
62,CONTROL_STRUCTURE,,FOR,
63,CONTROL_STRUCTURE,,FOR,
64,CONTROL_STRUCTURE,,FOR,
65,CONTROL_STRUCTURE,,FOR,
66,CONTROL_STRUCTURE,,FOR,
67,CONTROL_STRUCTURE,,IF,
68,CONTROL_STRUCTURE,,FOR,
69,CONTROL_STRUCTURE,,FOR,
70,CONTROL_STRUCTURE,,IF,
71,CONTROL_STRUCTURE,,FOR,
72,CONTROL_STRUCTURE,,FOR,
73,CONTROL_STRUCTURE,,FOR,
74,CONTROL_STRUCTURE,,FOR,
75,CONTROL_STRUCTURE,,IF,
76,CONTROL_STRUCTURE,,IF,
77,CONTROL_STRUCTURE,,IF,
78,CONTROL_STRUCTURE,,IF,
79,CONTROL_STRUCTURE,,FOR,
80,CONTROL_STRUCTURE,,FOR,
81,CONTROL_STRUCTURE,,FOR,
82,CONTROL_STRUCTURE,,FOR,
83,CONTROL_STRUCTURE,,IF,
84,CONTROL_STRUCTURE,,IF,
85,CONTROL_STRUCTURE,,IF,
86,CONTROL_STRUCTURE,,IF,
87,CONTROL_STRUCTURE,,IF,
88,CONTROL_STRUCTURE,,ELSE,
89,CONTROL_STRUCTURE,,IF,
90,CONTROL_STRUCTURE,,ELSE,
91,CONTROL_STRUCTURE,,IF,
92,CONTROL_STRUCTURE,,ELSE,
93,CONTROL_STRUCTURE,,FOR,
94,CONTROL_STRUCTURE,,FOR,
95,CONTROL_STRUCTURE,,FOR,
96,CONTROL_STRUCTURE,,FOR,
97,CONTROL_STRUCTURE,,IF,
98,CONTROL_STRUCTURE,,IF,
99,CONTROL_STRUCTURE,,IF,
100,CONTROL_STRUCTURE,,IF,
101,CONTROL_STRUCTURE,,IF,
102,CONTROL_STRUCTURE,,FOR,
103,CONTROL_STRUCTURE,,FOR,
104,CONTROL_STRUCTURE,,FOR,
105,CONTROL_STRUCTURE,,FOR,
106,CONTROL_STRUCTURE,,FOR,
107,CONTROL_STRUCTURE,,FOR,
108,CONTROL_STRUCTURE,,FOR,
109,CONTROL_STRUCTURE,,ELSE,
110,CONTROL_STRUCTURE,,IF,
111,CONTROL_STRUCTURE,,ELSE,
112,CONTROL_STRUCTURE,,IF,
113,CONTROL_STRUCTURE,,ELSE,
114,CONTROL_STRUCTURE,,IF,
115,CONTROL_STRUCTURE,,ELSE,
116,CONTROL_STRUCTURE,,FOR,
117,CONTROL_STRUCTURE,,FOR,
118,CONTROL_STRUCTURE,,FOR,
119,CONTROL_STRUCTURE,,FOR,
120,CONTROL_STRUCTURE,,FOR,
121,CONTROL_STRUCTURE,,FOR,
122,CONTROL_STRUCTURE,,FOR,
123,CONTROL_STRUCTURE,,FOR,
124,CONTROL_STRUCTURE,,FOR,
125,CONTROL_STRUCTURE,,FOR,
126,CONTROL_STRUCTURE,,FOR,
127,CONTROL_STRUCTURE,,FOR,
128,CONTROL_STRUCTURE,,FOR,
129,CONTROL_STRUCTURE,,FOR,
130,CONTROL_STRUCTURE,,IF,
131,CONTROL_STRUCTURE,,IF,
132,CONTROL_STRUCTURE,,IF,
133,CONTROL_STRUCTURE,,IF,
134,CONTROL_STRUCTURE,,FOR,
135,CONTROL_STRUCTURE,,FOR,
136,CONTROL_STRUCTURE,,FOR,
137,CONTROL_STRUCTURE,,IF,
138,CONTROL_STRUCTURE,,IF,
139,CONTROL_STRUCTURE,,IF,
140,CONTROL_STRUCTURE,,FOR,
141,CONTROL_STRUCTURE,,FOR,
142,CONTROL_STRUCTURE,,FOR,
143,CONTROL_STRUCTURE,,FOR,
144,CONTROL_STRUCTURE,,FOR,
145,CONTROL_STRUCTURE,,FOR,
146,CONTROL_STRUCTURE,,IF,
147,CONTROL_STRUCTURE,,FOR,
148,CONTROL_STRUCTURE,,FOR,
149,CONTROL_STRUCTURE,,FOR,
150,CONTROL_STRUCTURE,,FOR,
151,CONTROL_STRUCTURE,,FOR,
152,CONTROL_STRUCTURE,,FOR,
153,CONTROL_STRUCTURE,,IF,
154,CONTROL_STRUCTURE,,IF,
155,CONTROL_STRUCTURE,,FOR,
156,CONTROL_STRUCTURE,,IF,
157,CONTROL_STRUCTURE,,ELSE,
158,CONTROL_STRUCTURE,,IF,
159,CONTROL_STRUCTURE,,ELSE,
160,CONTROL_STRUCTURE,,FOR,
161,CONTROL_STRUCTURE,,FOR,
162,CONTROL_STRUCTURE,,FOR,
163,CONTROL_STRUCTURE,,FOR,
164,CONTROL_STRUCTURE,,FOR,
165,CONTROL_STRUCTURE,,FOR,
166,CONTROL_STRUCTURE,,FOR,
167,CONTROL_STRUCTURE,,FOR,
168,CONTROL_STRUCTURE,,WHILE,
169,CONTROL_STRUCTURE,,IF,
170,CONTROL_STRUCTURE,,IF,
171,CONTROL_STRUCTURE,,FOR,
172,CONTROL_STRUCTURE,,IF,
173,CONTROL_STRUCTURE,,ELSE,
174,CONTROL_STRUCTURE,,ELSE,
175,CONTROL_STRUCTURE,,FOR,
176,CONTROL_STRUCTURE,,IF,
177,CONTROL_STRUCTURE,,ELSE,
178,CONTROL_STRUCTURE,,FOR,
179,CONTROL_STRUCTURE,,FOR,
180,CONTROL_STRUCTURE,,FOR,
181,LITERAL,int,8,
182,LITERAL,int,0xff,
183,LITERAL,int,0xff,
184,LITERAL,int,8,
185,LITERAL,unsigned int,0xff000000u,
186,LITERAL,int,24,
187,LITERAL,unsigned int,0x00ff0000u,
188,LITERAL,int,8,
189,LITERAL,unsigned int,0x0000ff00u,
190,LITERAL,int,8,
191,LITERAL,unsigned int,0x000000ffu,
192,LITERAL,int,24,
193,LITERAL,unsigned long long int,0xff00000000000000ull,
194,LITERAL,int,56,
195,LITERAL,unsigned long long int,0x00ff000000000000ull,
196,LITERAL,int,40,
197,LITERAL,unsigned long long int,0x0000ff0000000000ull,
198,LITERAL,int,24,
199,LITERAL,unsigned long long int,0x000000ff00000000ull,
200,LITERAL,int,8,
201,LITERAL,unsigned long long int,0x00000000ff000000ull,
202,LITERAL,int,8,
203,LITERAL,unsigned long long int,0x0000000000ff0000ull,
204,LITERAL,int,24,
205,LITERAL,unsigned long long int,0x000000000000ff00ull,
206,LITERAL,int,40,
207,LITERAL,unsigned long long int,0x00000000000000ffull,
208,LITERAL,int,56,
209,LITERAL,int,0,
210,LITERAL,int,1,
211,LITERAL,int,2,
212,LITERAL,int,3,
213,LITERAL,int,4,
214,LITERAL,char,"""timer.flag""",
215,LITERAL,char,"""r""",
216,LITERAL,int,0,
217,LITERAL,char,"""init""",
218,LITERAL,char,"""benchmk""",
219,LITERAL,char,"""mg3P""",
220,LITERAL,char,"""psinv""",
221,LITERAL,char,"""resid""",
222,LITERAL,char,"""rprj3""",
223,LITERAL,char,"""interp""",
224,LITERAL,char,"""norm2""",
225,LITERAL,char,"""comm3""",
226,LITERAL,char,"""\n\n NAS Parallel Benchmarks (NPB3.3-SER-C) - MG Benchmark\n\n""",
227,LITERAL,char,"""mg.input""",
228,LITERAL,char,"""r""",
229,LITERAL,int,0,
230,LITERAL,char,""" Reading from input file mg.input\n""",
231,LITERAL,char,"""%d\n""",
232,LITERAL,char,'\n',
233,LITERAL,char,"""%d%d%d""",
234,LITERAL,char,'\n',
235,LITERAL,char,"""%d""",
236,LITERAL,char,'\n',
237,LITERAL,int,0,
238,LITERAL,int,7,
239,LITERAL,char,"""%d""",
240,LITERAL,char,""" No input file. Using compiled defaults \n""",
241,LITERAL,int,0,
242,LITERAL,int,7,
243,LITERAL,char,'U',
244,LITERAL,int,32,
245,LITERAL,int,4,
246,LITERAL,char,'S',
247,LITERAL,int,128,
248,LITERAL,int,4,
249,LITERAL,char,'W',
250,LITERAL,int,256,
251,LITERAL,int,4,
252,LITERAL,char,'A',
253,LITERAL,int,256,
254,LITERAL,int,20,
255,LITERAL,char,'B',
256,LITERAL,int,512,
257,LITERAL,int,20,
258,LITERAL,char,'C',
259,LITERAL,int,1024,
260,LITERAL,int,50,
261,LITERAL,char,'D',
262,LITERAL,int,2048,
263,LITERAL,int,50,
264,LITERAL,char,'E',
265,LITERAL,char,'U',
266,LITERAL,int,0,
267,LITERAL,double,8.0,
268,LITERAL,double,3.0,
269,LITERAL,int,1,
270,LITERAL,double,0.0,
271,LITERAL,int,2,
272,LITERAL,double,1.0,
273,LITERAL,double,6.0,
274,LITERAL,int,3,
275,LITERAL,double,1.0,
276,LITERAL,double,12.0,
277,LITERAL,char,'A',
278,LITERAL,char,'S',
279,LITERAL,char,'W',
280,LITERAL,int,0,
281,LITERAL,double,3.0,
282,LITERAL,double,8.0,
283,LITERAL,int,1,
284,LITERAL,double,1.0,
285,LITERAL,double,32.0,
286,LITERAL,int,2,
287,LITERAL,double,1.0,
288,LITERAL,double,64.0,
289,LITERAL,int,3,
290,LITERAL,double,0.0,
291,LITERAL,int,0,
292,LITERAL,double,3.0,
293,LITERAL,double,17.0,
294,LITERAL,int,1,
295,LITERAL,double,1.0,
296,LITERAL,double,33.0,
297,LITERAL,int,2,
298,LITERAL,double,1.0,
299,LITERAL,double,61.0,
300,LITERAL,int,3,
301,LITERAL,double,0.0,
302,LITERAL,int,1,
303,LITERAL,char,""" Size: %4dx%4dx%4d  (class %c)\n""",
304,LITERAL,char,""" Iterations: %3d\n""",
305,LITERAL,char,"""\n""",
306,LITERAL,char,""" Initialization time: %15.3f seconds\n\n""",
307,LITERAL,int,1,
308,LITERAL,int,1,
309,LITERAL,int,5,
310,LITERAL,int,0,
311,LITERAL,char,"""  iter %3d\n""",
312,LITERAL,double,0.0,
313,LITERAL,char,"""\n Benchmark completed\n""",
314,LITERAL,double,1.0e-4,
315,LITERAL,char,'U',
316,LITERAL,char,'S',
317,LITERAL,double,0.5307707005734e-04,
318,LITERAL,char,'W',
319,LITERAL,double,0.6467329375339e-05,
320,LITERAL,char,'A',
321,LITERAL,double,0.2433365309069e-05,
322,LITERAL,char,'B',
323,LITERAL,double,0.1800564401355e-05,
324,LITERAL,char,'C',
325,LITERAL,double,0.5706732285740e-06,
326,LITERAL,char,'D',
327,LITERAL,double,0.1583275060440e-09,
328,LITERAL,char,'E',
329,LITERAL,double,0.8157592357404e-10,
330,LITERAL,char,""" VERIFICATION SUCCESSFUL\n""",
331,LITERAL,char,""" L2 Norm is %20.13E\n""",
332,LITERAL,char,""" Error is   %20.13E\n""",
333,LITERAL,char,""" VERIFICATION FAILED\n""",
334,LITERAL,char,""" L2 Norm is             %20.13E\n""",
335,LITERAL,char,""" The correct L2 Norm is %20.13E\n""",
336,LITERAL,char,"""./log.txt""",
337,LITERAL,char,"""w""",
338,LITERAL,char,"""true\n""",
339,LITERAL,char,"""false\n""",
340,LITERAL,char,"""%20.13E\n""",
341,LITERAL,char,"""%20.13E\n""",
342,LITERAL,char,""" Problem size unknown\n""",
343,LITERAL,char,""" NO VERIFICATION PERFORMED\n""",
344,LITERAL,char,""" L2 Norm is %20.13E\n""",
345,LITERAL,double,1.0,
346,LITERAL,double,0.0,
347,LITERAL,double,58.0,
348,LITERAL,double,1.0e-6,
349,LITERAL,double,0.0,
350,LITERAL,char,"""./time.txt""",
351,LITERAL,char,"""w""",
352,LITERAL,char,"""%f\n""",
353,LITERAL,char,"""MG""",
354,LITERAL,char,"""          floating point""",
355,LITERAL,double,0.0,
356,LITERAL,double,1.0,
357,LITERAL,char,"""  SECTION   Time (secs)\n""",
358,LITERAL,char,"""    --> %8s:%9.3f  (%6.2f%%)\n""",
359,LITERAL,char,"""mg-resid""",
360,LITERAL,double,100.,
361,LITERAL,char,"""  %-8s:%9.3f  (%6.2f%%)\n""",
362,LITERAL,double,100.,
363,LITERAL,int,0,
364,LITERAL,int,0,
365,LITERAL,int,1,
366,LITERAL,int,2,
367,LITERAL,int,1,
368,LITERAL,int,1,
369,LITERAL,int,0,
370,LITERAL,int,3,
371,LITERAL,int,1,
372,LITERAL,int,2,
373,LITERAL,int,1,
374,LITERAL,int,0,
375,LITERAL,int,1,
376,LITERAL,int,2,
377,LITERAL,int,1,
378,LITERAL,int,0,
379,LITERAL,int,3,
380,LITERAL,int,2,
381,LITERAL,int,0,
382,LITERAL,int,1,
383,LITERAL,int,2,
384,LITERAL,int,2,
385,LITERAL,int,0,
386,LITERAL,int,0,
387,LITERAL,int,1,
388,LITERAL,int,0,
389,LITERAL,int,3,
390,LITERAL,int,2,
391,LITERAL,int,1,
392,LITERAL,int,1,
393,LITERAL,int,1,
394,LITERAL,int,1,
395,LITERAL,int,3,
396,LITERAL,int,2,
397,LITERAL,int,2,
398,LITERAL,int,2,
399,LITERAL,int,1,
400,LITERAL,int,2,
401,LITERAL,int,3,
402,LITERAL,int,0,
403,LITERAL,int,1,
404,LITERAL,int,1,
405,LITERAL,int,1,
406,LITERAL,int,1,
407,LITERAL,int,1,
408,LITERAL,int,1,
409,LITERAL,int,1,
410,LITERAL,int,1,
411,LITERAL,char,""" in setup,
3326,LITERAL,char,"" k  lt  nx  ny  nz  n1  n2  n3 is1 is2 is3 ie1 ie2 ie3\n""""""",
412,LITERAL,char,"""%4d%4d%4d%4d%4d%4d%4d%4d%4d%4d%4d%4d%4d%4d\n""",
413,LITERAL,int,0,
414,LITERAL,int,1,
415,LITERAL,int,2,
416,LITERAL,int,1,
417,LITERAL,int,1,
418,LITERAL,int,1,
419,LITERAL,int,1,
420,LITERAL,int,1,
421,LITERAL,int,1,
422,LITERAL,int,1,
423,LITERAL,int,1,
424,LITERAL,int,1,
425,LITERAL,int,1,
426,LITERAL,int,0,
427,LITERAL,int,1,
428,LITERAL,int,1,
429,LITERAL,int,1,
430,LITERAL,int,1,
431,LITERAL,int,1,
432,LITERAL,int,1,
433,LITERAL,int,1,
434,LITERAL,int,1,
435,LITERAL,int,1,
436,LITERAL,int,1,
437,LITERAL,int,1,
438,LITERAL,int,1,
439,LITERAL,int,1,
440,LITERAL,int,1,
441,LITERAL,int,0,
442,LITERAL,int,1,
443,LITERAL,int,1,
444,LITERAL,int,1,
445,LITERAL,int,2,
446,LITERAL,int,1,
447,LITERAL,int,1,
448,LITERAL,int,0,
449,LITERAL,int,1,
