,benchmark,label,runtime,runtime_label,error,error_label
0,lulesh,VALID,18.5591382,0, 6.5483618527651E-11,1
1,lulesh,FAIL,9999.0,0,,0
2,lulesh,INVALID,0.872956,1, 0.0000000000000E+00,0
3,lulesh,FAIL,9999.0,0,,0
4,lulesh,FAIL,9999.0,0,,0
5,lulesh,FAIL,9999.0,0,,0
6,lulesh,INVALID,0.917914,1, 0.0000000000000E+00,0
7,lulesh,FAIL,9999.0,0,,0
8,lulesh,FAIL,9999.0,0,,0
9,lulesh,FAIL,9999.0,0,,0
10,lulesh,FAIL,9999.0,0,,0
11,lulesh,INVALID,0.872159,1, 0.0000000000000E+00,0
12,lulesh,FAIL,9999.0,0,,0
13,lulesh,FAIL,9999.0,0,,0
14,lulesh,FAIL,9999.0,0,,0
15,lulesh,INVALID,17.423771,1, 2.4965503146518E-02,0
16,lulesh,FAIL,9999.0,0,,0
17,lulesh,FAIL,9999.0,0,,0
18,lulesh,FAIL,9999.0,0,,0
19,lulesh,FAIL,9999.0,0,,0
20,lulesh,FAIL,9999.0,0,,0
21,lulesh,INVALID,17.872059,1, 1.8421028653393E-04,0
22,lulesh,FAIL,9999.0,0,,0
23,lulesh,FAIL,9999.0,0,,0
24,lulesh,FAIL,9999.0,0,,0
25,lulesh,INVALID,0.832534,1, 0.0000000000000E+00,0
26,lulesh,FAIL,9999.0,0,,0
27,lulesh,INVALID,17.371205,1, 6.1177230782050E-04,0
28,lulesh,FAIL,9999.0,0,,0
29,lulesh,FAIL,9999.0,0,,0
30,lulesh,FAIL,9999.0,0,,0
31,lulesh,INVALID,18.026627,1, 4.9707260337527E-02,0
32,lulesh,FAIL,9999.0,0,,0
33,lulesh,INVALID,17.75753,1, 7.6504403100444E-03,0
34,lulesh,FAIL,9999.0,0,,0
35,lulesh,INVALID,17.474159,1, 1.5020009323052E-04,0
36,lulesh,FAIL,9999.0,0,,0
37,lulesh,FAIL,9999.0,0,,0
38,lulesh,FAIL,9999.0,0,,0
39,lulesh,FAIL,9999.0,0,,0
40,lulesh,FAIL,9999.0,0,,0
41,lulesh,FAIL,9999.0,0,,0
42,lulesh,FAIL,9999.0,0,,0
43,lulesh,VALID,17.614838999999996,1, 7.0464571763296E-05,1
44,lulesh,FAIL,9999.0,0,,0
45,lulesh,INVALID,16.212436,1, 1.6917361790547E-04,0
46,lulesh,FAIL,9999.0,0,,0
47,lulesh,VALID,16.029553,1, 3.4560798667371E-11,1
48,lulesh,FAIL,9999.0,0,,0
49,lulesh,FAIL,9999.0,0,,0
50,lulesh,FAIL,9999.0,0,,0
51,lulesh,FAIL,9999.0,0,,0
52,lulesh,FAIL,9999.0,0,,0
53,lulesh,INVALID,16.159325,1, 7.6519066351466E-03,0
54,lulesh,FAIL,9999.0,0,,0
55,lulesh,INVALID,0.747053,1, 0.0000000000000E+00,0
56,lulesh,FAIL,9999.0,0,,0
57,lulesh,INVALID,15.682416,1, 7.9951788620747E-04,0
58,lulesh,FAIL,9999.0,0,,0
59,lulesh,VALID,15.901996399999998,1, 3.2560268209636E-05,1
60,lulesh,INVALID,0.761042,1, 0.0000000000000E+00,0
61,lulesh,FAIL,9999.0,0,,0
62,lulesh,FAIL,9999.0,0,,0
63,lulesh,FAIL,9999.0,0,,0
64,lulesh,INVALID,0.768392,1, 0.0000000000000E+00,0
65,lulesh,FAIL,9999.0,0,,0
66,lulesh,FAIL,9999.0,0,,0
67,lulesh,FAIL,9999.0,0,,0
68,lulesh,FAIL,9999.0,0,,0
69,lulesh,INVALID,0.755747,1, 0.0000000000000E+00,0
70,lulesh,FAIL,9999.0,0,,0
71,lulesh,FAIL,9999.0,0,,0
72,lulesh,FAIL,9999.0,0,,0
73,lulesh,INVALID,15.09769,1, 2.6845026192859E-02,0
74,lulesh,FAIL,9999.0,0,,0
75,lulesh,FAIL,9999.0,0,,0
76,lulesh,FAIL,9999.0,0,,0
77,lulesh,FAIL,9999.0,0,,0
78,lulesh,FAIL,9999.0,0,,0
79,lulesh,VALID,15.654393000000002,1, 2.2736339815310E-05,1
80,lulesh,FAIL,9999.0,0,,0
81,lulesh,FAIL,9999.0,0,,0
82,lulesh,FAIL,9999.0,0,,0
83,lulesh,INVALID,2.890709,1, 0.0000000000000E+00,0
84,lulesh,FAIL,9999.0,0,,0
85,lulesh,FAIL,9999.0,0,,0
86,lulesh,INVALID,0.770181,1, 0.0000000000000E+00,0
87,lulesh,FAIL,9999.0,0,,0
88,lulesh,FAIL,9999.0,0,,0
89,lulesh,FAIL,9999.0,0,,0
90,lulesh,INVALID,0.743489,1, 0.0000000000000E+00,0
91,lulesh,FAIL,9999.0,0,,0
92,lulesh,FAIL,9999.0,0,,0
93,lulesh,FAIL,9999.0,0,,0
94,lulesh,FAIL,9999.0,0,,0
95,lulesh,INVALID,0.757036,1, 0.0000000000000E+00,0
96,lulesh,FAIL,9999.0,0,,0
97,lulesh,FAIL,9999.0,0,,0
98,lulesh,FAIL,9999.0,0,,0
99,lulesh,INVALID,15.262828,1, 8.2723544720693E-03,0
100,lulesh,FAIL,9999.0,0,,0
101,lulesh,FAIL,9999.0,0,,0
102,lulesh,FAIL,9999.0,0,,0
103,lulesh,FAIL,9999.0,0,,0
104,lulesh,FAIL,9999.0,0,,0
105,lulesh,VALID,15.888668999999998,1, 9.9444692750694E-05,1
106,lulesh,FAIL,9999.0,0,,0
107,lulesh,FAIL,9999.0,0,,0
108,lulesh,FAIL,9999.0,0,,0
109,lulesh,FAIL,9999.0,0,,0
110,lulesh,FAIL,9999.0,0,,0
