,index,benchmark,label,runtime,runtime_label,error,error_label,runtime_pred,error_pred
0,0,cg,VALID,1.3796623,0, 1.7130235054030E+01,1,-1.0,-1.0
1,1,cg,INVALID,1.244174,1,                 INF,0,-1.0,-1.0
2,2,cg,INVALID,1.266276,1,                 NAN,0,-1.0,-1.0
3,3,cg,INVALID,4.406865,0, 2.0000000000000E+01,0,-1.0,-1.0
4,4,cg,INVALID,1.224292,1,                -NAN,0,-1.0,-1.0
5,5,cg,INVALID,3.174019,0, 9.6209511160851E-02,0,-1.0,-1.0
6,6,cg,INVALID,1.21207,1,                 NAN,0,-1.0,-1.0
7,7,cg,INVALID,1.272219,1, 2.0000000318778E+01,0,-1.0,-1.0
8,8,cg,INVALID,4.406243,0, 2.0000000000000E+01,0,-1.0,-1.0
9,9,cg,INVALID,1.233029,1,                 NAN,0,-1.0,-1.0
10,10,cg,INVALID,1.253742,1,                 INF,0,-1.0,-1.0
11,11,cg,VALID,1.1958092,1, 1.7129574733919E+01,1,-1.0,-1.0
12,12,cg,INVALID,1.227695,1,                 NAN,0,-1.0,-1.0
13,13,cg,INVALID,4.433898,0, 2.0000000000000E+01,0,-1.0,-1.0
14,14,cg,INVALID,1.183401,1,                 INF,0,-1.0,-1.0
15,15,cg,INVALID,6.316102,0, 1.3275969028473E+00,0,-1.0,-1.0
16,16,cg,INVALID,1.168217,1,                 NAN,0,-1.0,-1.0
17,17,cg,INVALID,3.701609,0, 1.9999999999971E+01,0,-1.0,-1.0
18,18,cg,INVALID,1.254355,1,                -NAN,0,-1.0,-1.0
19,19,cg,INVALID,1.385768,0,-2.4588031102108E+32,0,-1.0,-1.0
20,20,cg,INVALID,1.598188,0,                 INF,0,-1.0,-1.0
21,21,cg,INVALID,1.242989,1,                -NAN,0,-1.0,-1.0
22,22,cg,INVALID,1.262757,1,                 INF,0,-1.0,-1.0
23,23,cg,INVALID,5.754024,0, 1.3275969419423E+00,0,-1.0,-1.0
24,24,cg,INVALID,1.178577,1,                 INF,0,-1.0,-1.0
25,25,cg,INVALID,5.313101,0, 1.2650092124939E+01,0,-1.0,-1.0
26,26,cg,INVALID,1.11042,1,                 NAN,0,-1.0,-1.0
27,27,cg,INVALID,1.236659,1, 2.0000000000000E+01,0,-1.0,-1.0
28,28,cg,INVALID,1.17532,1,                 INF,0,-1.0,-1.0
29,29,cg,VALID,1.2071519999999998,1, 1.7130087024769E+01,1,-1.0,-1.0
30,30,cg,INVALID,1.310909,1,                -NAN,0,-1.0,-1.0
31,31,cg,INVALID,1.381256,0,-2.4588031102108E+32,0,-1.0,-1.0
32,32,cg,INVALID,1.639655,0,                 INF,0,-1.0,-1.0
33,33,cg,INVALID,1.25969,1,                -NAN,0,-1.0,-1.0
34,34,cg,INVALID,1.490417,0,                 INF,0,-1.0,-1.0
35,35,cg,INVALID,5.755224,0, 1.3275716879745E+00,0,-1.0,-1.0
36,36,cg,INVALID,1.230269,1,                 INF,0,-1.0,-1.0
37,37,cg,VALID,1.2586655,1, 1.7129568099976E+01,1,-1.0,-1.0
38,38,cg,INVALID,1.239749,1,                 INF,0,-1.0,-1.0
39,39,cg,INVALID,5.215493,0, 1.2650091821032E+01,0,-1.0,-1.0
40,40,cg,INVALID,1.310576,1,                 INF,0,-1.0,-1.0
41,41,cg,INVALID,1.241137,1, 1.9999999999750E+01,0,-1.0,-1.0
42,42,cg,INVALID,1.460966,0,                 INF,0,-1.0,-1.0
43,43,cg,VALID,1.3098936,1, 1.7130084459314E+01,1,-1.0,-1.0
44,44,cg,INVALID,1.247991,1,                 INF,0,-1.0,-1.0
45,45,cg,VALID,1.2363758,1, 1.7129574733919E+01,1,-1.0,-1.0
46,46,cg,INVALID,1.277068,1,                -NAN,0,-1.0,-1.0
47,47,cg,INVALID,1.379355,0,-2.4588019120659E+32,0,-1.0,-1.0
48,48,cg,INVALID,1.264065,1,                 INF,0,-1.0,-1.0
49,49,cg,INVALID,1.312319,1,                -NAN,0,-1.0,-1.0
50,50,cg,INVALID,1.449685,0,                 INF,0,-1.0,-1.0
51,51,cg,INVALID,1.235495,1,                 NAN,0,-1.0,-1.0
52,52,cg,INVALID,1.241537,1,                 INF,0,-1.0,-1.0
53,53,cg,VALID,1.3203809,1, 1.7129574733919E+01,1,-1.0,-1.0
54,54,cg,INVALID,1.271437,1,                 INF,0,-1.0,-1.0
55,55,cg,INVALID,5.796721,0, 1.3275716879745E+00,0,-1.0,-1.0
56,56,cg,INVALID,1.243116,1,                 INF,0,-1.0,-1.0
57,57,cg,VALID,1.2330991999999998,1, 1.7129567715247E+01,1,-1.0,-1.0
58,58,cg,INVALID,1.207921,1,                 INF,0,-1.0,-1.0
59,59,cg,VALID,1.2633188999999998,1, 1.7129573822021E+01,1,-1.0,-1.0
60,60,cg,INVALID,1.186276,1,                 INF,0,-1.0,-1.0
61,61,cg,VALID,1.2353411,1, 1.7129574733919E+01,1,-1.0,-1.0
62,62,cg,INVALID,1.220452,1,                 INF,0,-1.0,-1.0
63,63,cg,INVALID,5.252257,0, 1.2650091821032E+01,0,-1.0,-1.0
64,64,cg,INVALID,1.223029,1,                 INF,0,-1.0,-1.0
65,65,cg,VALID,1.1456534,1, 1.7129574806909E+01,1,-1.0,-1.0
66,66,cg,INVALID,1.199623,1,                 INF,0,-1.0,-1.0
67,67,cg,INVALID,1.295817,1, 2.8858293492013E+01,0,-1.0,-1.0
68,68,cg,INVALID,1.213061,1,                 INF,0,-1.0,-1.0
69,69,cg,VALID,1.3039733999999998,1, 1.7129571575736E+01,1,-1.0,-1.0
70,70,cg,INVALID,1.229006,1,                 INF,0,-1.0,-1.0
71,71,cg,VALID,1.2624307,1, 1.7130087024769E+01,1,-1.0,-1.0
