,index,benchmark,label,runtime,runtime_label,error,error_label,runtime_pred,error_pred,runtime_score,error_score
0,0,spec_lbm,VALID,194.474345874,0,9.7518653163137e-09,1,-1.0,-1.0,,
1,1,spec_lbm,INVALID,154.202266619,1,2.9732448091908e-05,0,-1.0,-1.0,-1.0,-1.0
2,2,spec_lbm,VALID,156.62946685,1,5.335347149805e-08,1,-1.0,-1.0,-1.0,-1.0
3,3,spec_lbm,INVALID,153.05239867,1,3.3983026757951e-05,0,-1.0,-1.0,-1.0,-1.0
4,4,spec_lbm,INVALID,159.327016207,1,2.7911036516212e-07,0,-1.0,-1.0,-1.0,-1.0
5,5,spec_lbm,INVALID,157.777011626,1,1.4134373896855e-05,0,-1.0,-1.0,-1.0,-1.0
6,6,spec_lbm,INVALID,155.045285641,1,2.8032190670109e-07,0,-1.0,-1.0,-1.0,-1.0
7,7,spec_lbm,INVALID,159.012692897,1,1.4134371442238e-05,0,-1.0,-1.0,-1.0,-1.0
8,8,spec_lbm,INVALID,164.489347991,0,2.9732437823282e-05,0,-1.0,-1.0,-1.0,-1.0
9,9,spec_lbm,VALID,151.925718407,1,5.2322179671014e-08,1,-1.0,-1.0,-1.0,-1.0
10,10,spec_lbm,INVALID,166.089151649,0,1.1190478146661e-05,0,-1.0,-1.0,-1.0,-1.0
11,11,spec_lbm,VALID,159.284951077,1,5.1144663988774e-08,1,-1.0,-1.0,-1.0,-1.0
12,12,spec_lbm,INVALID,157.646694083,1,2.175316914334e-05,0,-1.0,-1.0,-1.0,-1.0
13,13,spec_lbm,INVALID,161.795507443,0,2.7633148906135e-07,0,-1.0,-1.0,-1.0,-1.0
14,14,spec_lbm,INVALID,156.566345043,1,2.4305668078758e-07,0,-1.0,-1.0,-1.0,-1.0
15,15,spec_lbm,INVALID,161.779681509,0,2.2034090389468e-05,0,-1.0,-1.0,-1.0,-1.0
16,16,spec_lbm,INVALID,166.916890478,0,4.4426510536887e-07,0,-1.0,-1.0,-1.0,-1.0
17,17,spec_lbm,INVALID,156.443548984,1,1.9438579055983e-05,0,-1.0,-1.0,-1.0,-1.0
18,18,spec_lbm,INVALID,155.939728447,1,2.3660129014679e-05,0,-1.0,-1.0,-1.0,-1.0
19,19,spec_lbm,VALID,159.061938347,1,4.4822166676943e-08,1,-1.0,-1.0,-1.0,-1.0
20,20,spec_lbm,INVALID,172.023141352,0,2.9293885579413e-05,0,-1.0,-1.0,-1.0,-1.0
21,21,spec_lbm,VALID,158.280761797,1,3.4193619621332e-08,1,-1.0,-1.0,-1.0,-1.0
22,22,spec_lbm,INVALID,159.182300296,1,2.175316914334e-05,0,-1.0,-1.0,-1.0,-1.0
23,23,spec_lbm,INVALID,168.579683677,0,2.7631200546491e-07,0,-1.0,-1.0,-1.0,-1.0
24,24,spec_lbm,INVALID,169.260031238,0,7.9869120516411e-07,0,-1.0,-1.0,-1.0,-1.0
25,25,spec_lbm,INVALID,157.992229128,1,1.1936303907055e-05,0,-1.0,-1.0,-1.0,-1.0
26,26,spec_lbm,INVALID,157.930441096,1,1.2204756027918e-05,0,-1.0,-1.0,-1.0,-1.0
27,27,spec_lbm,INVALID,172.382372142,0,1.6816027519531e-07,0,-1.0,-1.0,-1.0,-1.0
28,28,spec_lbm,INVALID,165.552922945,0,1.1125577449369e-05,0,-1.0,-1.0,-1.0,-1.0
29,29,spec_lbm,VALID,160.924193048,0,5.6036294773589e-08,1,-1.0,-1.0,-1.0,-1.0
30,30,spec_lbm,INVALID,158.732721594,1,1.0113439344136e-05,0,-1.0,-1.0,-1.0,-1.0
31,31,spec_lbm,VALID,163.453833374,0,5.6289185718676e-08,1,-1.0,-1.0,-1.0,-1.0
32,32,spec_lbm,INVALID,158.959206377,1,2.8673137140693e-05,0,-1.0,-1.0,-1.0,-1.0
33,33,spec_lbm,VALID,157.531081197,1,3.7311065241713e-08,1,-1.0,-1.0,-1.0,-1.0
34,34,spec_lbm,INVALID,158.422603882,1,2.909142044843e-05,0,-1.0,-1.0,-1.0,-1.0
35,35,spec_lbm,VALID,157.377675125,1,5.6073044327983e-08,1,-1.0,-1.0,-1.0,-1.0
36,36,spec_lbm,INVALID,165.428432024,0,2.3111858333182e-05,0,-1.0,-1.0,-1.0,-1.0
37,37,spec_lbm,INVALID,161.185550535,0,4.0301309776544e-07,0,-1.0,-1.0,-1.0,-1.0
38,38,spec_lbm,INVALID,153.53995398,1,5.6401774762634e-06,0,-1.0,-1.0,-1.0,-1.0
39,39,spec_lbm,VALID,158.368260157,1,5.9786267003805e-08,1,-1.0,-1.0,-1.0,-1.0
40,40,spec_lbm,INVALID,164.249985307,0,2.9732448091908e-05,0,-1.0,-1.0,-1.0,-1.0
41,41,spec_lbm,INVALID,157.519222016,1,1.2817654245288e-05,0,-1.0,-1.0,-1.0,-1.0
42,42,spec_lbm,INVALID,158.004778297,1,1.3304901322713e-07,0,-1.0,-1.0,-1.0,-1.0
43,43,spec_lbm,INVALID,159.238856474,1,1.2817654245288e-05,0,-1.0,-1.0,-1.0,-1.0
44,44,spec_lbm,INVALID,159.129804189,1,1.3304901322713e-07,0,-1.0,-1.0,-1.0,-1.0
45,45,spec_lbm,INVALID,157.818701825,1,7.9869120516411e-07,0,-1.0,-1.0,-1.0,-1.0
46,46,spec_lbm,INVALID,163.444533176,0,1.1936303907055e-05,0,-1.0,-1.0,-1.0,-1.0
47,47,spec_lbm,INVALID,163.03042078,0,2.7391547604707e-05,0,-1.0,-1.0,-1.0,-1.0
48,48,spec_lbm,INVALID,155.733163686,1,1.5064700420011e-07,0,-1.0,-1.0,-1.0,-1.0
49,49,spec_lbm,INVALID,162.575149475,0,2.9732448091908e-05,0,-1.0,-1.0,-1.0,-1.0
50,50,spec_lbm,VALID,164.469826361,0,5.2322179671014e-08,1,-1.0,-1.0,-1.0,-1.0
51,51,spec_lbm,INVALID,193.016321425,0,2.4479994557121e-05,0,-1.0,-1.0,-1.0,-1.0
52,52,spec_lbm,VALID,157.511867425,1,5.2322179671014e-08,1,-1.0,-1.0,-1.0,-1.0
53,53,spec_lbm,INVALID,159.082768983,1,8.4848039785059e-06,0,-1.0,-1.0,-1.0,-1.0
54,54,spec_lbm,INVALID,164.11111471,0,1.8329791128848e-07,0,-1.0,-1.0,-1.0,-1.0
55,55,spec_lbm,INVALID,159.320599293,1,2.9732448091908e-05,0,-1.0,-1.0,-1.0,-1.0
56,56,spec_lbm,VALID,162.126164569,0,5.2322179671014e-08,1,-1.0,-1.0,-1.0,-1.0
57,57,spec_lbm,INVALID,158.835248436,1,2.2443134996801e-07,0,-1.0,-1.0,-1.0,-1.0
58,58,spec_lbm,INVALID,167.012655704,0,9.4389270477938e-06,0,-1.0,-1.0,-1.0,-1.0
59,59,spec_lbm,INVALID,157.648103053,1,2.8808545425947e-05,0,-1.0,-1.0,-1.0,-1.0
60,60,spec_lbm,VALID,160.435861208,0,5.9786267003805e-08,1,-1.0,-1.0,-1.0,-1.0
61,61,spec_lbm,INVALID,156.33471889,1,1.8884592618628e-05,0,-1.0,-1.0,-1.0,-1.0
62,62,spec_lbm,INVALID,160.184033545,0,2.0155710224947e-07,0,-1.0,-1.0,-1.0,-1.0
63,63,spec_lbm,INVALID,156.993725876,1,2.9732448091908e-05,0,-1.0,-1.0,-1.0,-1.0
64,64,spec_lbm,VALID,156.253694249,1,5.2322179671014e-08,1,-1.0,-1.0,-1.0,-1.0
65,65,spec_lbm,INVALID,158.292306526,1,2.4479994557121e-05,0,-1.0,-1.0,-1.0,-1.0
66,66,spec_lbm,VALID,171.026398651,0,5.2322179671014e-08,1,-1.0,-1.0,-1.0,-1.0
67,67,spec_lbm,INVALID,155.576485042,1,2.9732448091908e-05,0,-1.0,-1.0,-1.0,-1.0
68,68,spec_lbm,VALID,152.93016534,1,5.2322179671014e-08,1,-1.0,-1.0,-1.0,-1.0
69,69,spec_lbm,INVALID,158.44630432,1,1.0087467749611e-05,0,-1.0,-1.0,-1.0,-1.0
70,70,spec_lbm,VALID,153.540745667,1,7.1000749441035e-08,1,-1.0,-1.0,-1.0,-1.0
71,71,spec_lbm,INVALID,159.850792538,1,2.2601588910686e-05,0,-1.0,-1.0,-1.0,-1.0
72,72,spec_lbm,INVALID,160.414243795,0,3.000087668541e-07,0,-1.0,-1.0,-1.0,-1.0
73,73,spec_lbm,INVALID,155.41867261,1,2.9732448091908e-05,0,-1.0,-1.0,-1.0,-1.0
74,74,spec_lbm,VALID,164.818725568,0,5.2322179671014e-08,1,-1.0,-1.0,-1.0,-1.0
75,75,spec_lbm,INVALID,153.889342601,1,2.9732448091908e-05,0,-1.0,-1.0,-1.0,-1.0
76,76,spec_lbm,VALID,157.1796517,1,5.2322179671014e-08,1,-1.0,-1.0,-1.0,-1.0
77,77,spec_lbm,INVALID,158.688252965,1,2.9732448091908e-05,0,-1.0,-1.0,-1.0,-1.0
78,78,spec_lbm,VALID,158.602526271,1,5.2322179671014e-08,1,-1.0,-1.0,-1.0,-1.0
79,79,spec_lbm,INVALID,167.879593051,0,2.2443134996801e-07,0,-1.0,-1.0,-1.0,-1.0
80,80,spec_lbm,INVALID,-1.0,-1,-1.0,-1,1.0,0.0,0.5024964809417725,0.11001532524824142
81,81,spec_lbm,INVALID,-1.0,-1,-1.0,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
82,82,spec_lbm,VALID,168.851531364,0,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
83,83,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5215631127357483,9.811493509914726e-05
84,84,spec_lbm,VALID,158.086695766,1,5.9786267003805E-08,1,1.0,1.0,0.499708354473114,0.864766538143158
85,85,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5053654313087463,0.0001612254127394408
86,86,spec_lbm,INVALID,164.848036266,1,2.0155710224947E-07,0,1.0,1.0,0.5121921300888062,0.46278756856918335
87,87,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
88,88,spec_lbm,VALID,157.683175599,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
89,89,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654015982756391e-05
90,90,spec_lbm,VALID,169.081170812,0,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
91,91,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
92,92,spec_lbm,VALID,156.600845447,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
93,93,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5201141238212585,0.00013252193457446992
94,94,spec_lbm,VALID,158.581174723,1,5.2361536014343E-08,1,1.0,1.0,0.5018015503883362,0.7011750340461731
95,95,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5224994421005249,8.922323468141258e-05
96,96,spec_lbm,VALID,158.613980673,1,5.6036294773589E-08,1,1.0,1.0,0.49731147289276123,0.9239628911018372
97,97,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
98,98,spec_lbm,VALID,193.425221721,0,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
99,99,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5257447957992554,9.608005348127335e-05
100,100,spec_lbm,VALID,156.690670295,1,4.1464777885906E-08,1,1.0,1.0,0.5002214312553406,0.8488418459892273
101,101,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5212781429290771,0.0014527811435982585
102,102,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.49892526865005493,0.15167029201984406
103,103,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225513577461243,9.545103966956958e-05
104,104,spec_lbm,VALID,156.197498371,1,5.6073044327983E-08,1,1.0,1.0,0.4984602928161621,0.862502932548523
105,105,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
106,106,spec_lbm,VALID,156.979268248,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260806441307068
107,107,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
108,108,spec_lbm,VALID,159.319154069,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260806441307068
109,109,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
110,110,spec_lbm,VALID,158.297599821,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
111,111,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5225108861923218,8.654007251607254e-05
112,112,spec_lbm,VALID,154.886989442,1,5.2322179671014E-08,1,1.0,1.0,0.49730002880096436,0.9260805249214172
113,113,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5179778933525085,0.0014002042589709163
114,114,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.503207802772522,0.0921621173620224
115,115,spec_lbm,INVALID,-1.0,-1,-1,-1,1.0,0.0,0.5217234492301941,0.0001300458243349567
116,116,spec_lbm,INVALID,155.826428076,1,3.3752227021174E-07,0,1.0,1.0,0.49999916553497314,0.7105350494384766
