,index,benchmark,label,runtime,runtime_label,error,error_label,runtime_pred,error_pred,runtime_score,error_score
0,0,lulesh,VALID,16.594565999999997,0,6.5483618527651e-11,1,-1.0,-1.0,,
1,1,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
2,2,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
3,3,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
4,4,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
5,5,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
6,6,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
7,7,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
8,8,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
9,9,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
10,10,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
11,11,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
12,12,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
13,13,lulesh,INVALID,17.440314,0,0.00042697942353698,0,-1.0,-1.0,-1.0,-1.0
14,14,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
15,15,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
16,16,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
17,17,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
18,18,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
19,19,lulesh,INVALID,2.539999,1,0.0,0,-1.0,-1.0,-1.0,-1.0
20,20,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
21,21,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
22,22,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
23,23,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
24,24,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
25,25,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
26,26,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
27,27,lulesh,INVALID,17.568313,0,5895.1887713915,0,-1.0,-1.0,-1.0,-1.0
28,28,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
29,29,lulesh,VALID,24.55428,0,2.1592881239485e-05,1,-1.0,-1.0,-1.0,-1.0
30,30,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
31,31,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
32,32,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
33,33,lulesh,INVALID,13.370471,1,0.00026508418886806,0,-1.0,-1.0,-1.0,-1.0
34,34,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
35,35,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
36,36,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
37,37,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
38,38,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
39,39,lulesh,INVALID,0.639786,1,0.0,0,-1.0,-1.0,-1.0,-1.0
40,40,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
41,41,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
42,42,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
43,43,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
44,44,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
45,45,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
46,46,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
47,47,lulesh,VALID,14.0202564,1,1.0459871191415e-06,1,-1.0,-1.0,-1.0,-1.0
48,48,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
49,49,lulesh,INVALID,13.441248,1,0.00015143896598602,0,-1.0,-1.0,-1.0,-1.0
50,50,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
51,51,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
52,52,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
53,53,lulesh,INVALID,12.952563,1,0.0047127860179899,0,-1.0,-1.0,-1.0,-1.0
54,54,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
55,55,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
56,56,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
57,57,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
58,58,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
59,59,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
60,60,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
61,61,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
62,62,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
63,63,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
64,64,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
65,65,lulesh,INVALID,13.581708,1,0.0010999961668858,0,-1.0,-1.0,-1.0,-1.0
66,66,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
67,67,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
68,68,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
69,69,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
70,70,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
71,71,lulesh,INVALID,0.604264,1,0.0,0,-1.0,-1.0,-1.0,-1.0
72,72,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
73,73,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
74,74,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
75,75,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
76,76,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
77,77,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
78,78,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
79,79,lulesh,INVALID,13.580769,1,0.043785480746806,0,-1.0,-1.0,-1.0,-1.0
80,80,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
81,81,lulesh,VALID,14.579701,1,9.5477116701659e-06,1,-1.0,-1.0,-1.0,-1.0
82,82,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
83,83,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
84,84,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
85,85,lulesh,INVALID,17.886913,0,0.00016343708557542,0,-1.0,-1.0,-1.0,-1.0
86,86,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
87,87,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
88,88,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
89,89,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
90,90,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
91,91,lulesh,INVALID,0.635386,1,0.0,0,-1.0,-1.0,-1.0,-1.0
92,92,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
93,93,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
94,94,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
95,95,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
96,96,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
