,index,benchmark,label,runtime,runtime_label,error,error_label,runtime_pred,error_pred,runtime_score,error_score
0,0,spec_lbm,VALID,194.474345874,0,9.7518653163137E-09,1,-1.0,-1.0,,
1,1,spec_lbm,INVALID,224.145882745,1,2.9732448091908e-05,0,-1.0,-1.0,-1.0,-1.0
2,2,spec_lbm,INVALID,236.741927385,0,1.5664048800428e-05,0,-1.0,-1.0,-1.0,-1.0
3,3,spec_lbm,INVALID,245.710846814,0,1.7669627457709e-07,0,-1.0,-1.0,-1.0,-1.0
4,4,spec_lbm,INVALID,226.830748811,1,1.0273380103816e-05,0,-1.0,-1.0,-1.0,-1.0
5,5,spec_lbm,INVALID,234.071606076,1,1.1455458807948e-07,0,-1.0,-1.0,-1.0,-1.0
6,6,spec_lbm,INVALID,242.592699897,0,1.0181324705172e-05,0,-1.0,-1.0,-1.0,-1.0
7,7,spec_lbm,INVALID,227.098800645,1,5.01302029727e-07,0,-1.0,-1.0,-1.0,-1.0
8,8,spec_lbm,INVALID,229.324301128,1,2.9732436889771e-05,0,-1.0,-1.0,-1.0,-1.0
9,9,spec_lbm,VALID,234.514472572,0,7.1661026219638e-09,1,-1.0,-1.0,-1.0,-1.0
10,10,spec_lbm,INVALID,254.269358672,0,1.7766421800468e-07,0,-1.0,-1.0,-1.0,-1.0
11,11,spec_lbm,INVALID,230.256015698,1,1.5664034624993e-05,0,-1.0,-1.0,-1.0,-1.0
12,12,spec_lbm,INVALID,282.008124019,0,2.8796891111644e-05,0,-1.0,-1.0,-1.0,-1.0
13,13,spec_lbm,VALID,245.425930874,0,9.7511341162842e-09,1,-1.0,-1.0,-1.0,-1.0
14,14,spec_lbm,INVALID,234.677861195,0,1.0120187692022e-05,0,-1.0,-1.0,-1.0,-1.0
15,15,spec_lbm,INVALID,235.575314434,0,1.2435252460494e-07,0,-1.0,-1.0,-1.0,-1.0
16,16,spec_lbm,INVALID,224.872381179,1,1.5968698356767e-05,0,-1.0,-1.0,-1.0,-1.0
17,17,spec_lbm,INVALID,231.729147357,1,4.569540138104e-07,0,-1.0,-1.0,-1.0,-1.0
18,18,spec_lbm,INVALID,237.381530154,0,4.3592222260453e-06,0,-1.0,-1.0,-1.0,-1.0
19,19,spec_lbm,VALID,227.022060322,1,1.0027867350867e-08,1,-1.0,-1.0,-1.0,-1.0
20,20,spec_lbm,INVALID,261.377451819,0,2.9732448091908e-05,0,-1.0,-1.0,-1.0,-1.0
21,21,spec_lbm,VALID,233.801718214,1,9.7518653163137e-09,1,-1.0,-1.0,-1.0,-1.0
22,22,spec_lbm,INVALID,234.20142243,1,2.9732438756794e-05,0,-1.0,-1.0,-1.0,-1.0
23,23,spec_lbm,VALID,233.11275196,1,7.1391927747503e-09,1,-1.0,-1.0,-1.0,-1.0
24,24,spec_lbm,INVALID,253.76847257,0,1.775360853035e-07,0,-1.0,-1.0,-1.0,-1.0
25,25,spec_lbm,INVALID,228.286934573,1,1.5664039940783e-05,0,-1.0,-1.0,-1.0,-1.0
26,26,spec_lbm,INVALID,234.601483633,0,1.6702809225782e-05,0,-1.0,-1.0,-1.0,-1.0
27,27,spec_lbm,INVALID,232.183363509,1,1.7669627457709e-07,0,-1.0,-1.0,-1.0,-1.0
28,28,spec_lbm,INVALID,251.148500353,0,1.0115968015636e-05,0,-1.0,-1.0,-1.0,-1.0
29,29,spec_lbm,INVALID,222.846120892,1,1.475750181412e-07,0,-1.0,-1.0,-1.0,-1.0
30,30,spec_lbm,INVALID,223.667499324,1,1.6427553671187e-05,0,-1.0,-1.0,-1.0,-1.0
31,31,spec_lbm,INVALID,228.707194662,1,4.9718540288019e-07,0,-1.0,-1.0,-1.0,-1.0
32,32,spec_lbm,INVALID,227.246865504,1,2.9732436889771e-05,0,-1.0,-1.0,-1.0,-1.0
33,33,spec_lbm,VALID,223.757910905,1,1.2680766270325e-08,1,-1.0,-1.0,-1.0,-1.0
