,index,benchmark,label,runtime,runtime_label,error,error_label,runtime_pred,error_pred,runtime_score,error_score
0,0,lulesh,VALID,18.5591382,0,6.5483618527651e-11,1,-1.0,-1.0,,
1,1,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
2,2,lulesh,INVALID,0.872956,1,0.0,0,-1.0,-1.0,-1.0,-1.0
3,3,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
4,4,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
5,5,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
6,6,lulesh,INVALID,0.917914,1,0.0,0,-1.0,-1.0,-1.0,-1.0
7,7,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
8,8,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
9,9,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
10,10,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
11,11,lulesh,INVALID,0.872159,1,0.0,0,-1.0,-1.0,-1.0,-1.0
12,12,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
13,13,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
14,14,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
15,15,lulesh,INVALID,17.423771,1,0.024965503146518,0,-1.0,-1.0,-1.0,-1.0
16,16,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
17,17,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
18,18,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
19,19,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
20,20,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
21,21,lulesh,INVALID,17.872059,1,0.00018421028653393,0,-1.0,-1.0,-1.0,-1.0
22,22,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
23,23,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
24,24,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
25,25,lulesh,INVALID,0.832534,1,0.0,0,-1.0,-1.0,-1.0,-1.0
26,26,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
27,27,lulesh,INVALID,17.371205,1,0.0006117723078205,0,-1.0,-1.0,-1.0,-1.0
28,28,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
29,29,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
30,30,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
31,31,lulesh,INVALID,18.026627,1,0.049707260337527,0,-1.0,-1.0,-1.0,-1.0
32,32,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
33,33,lulesh,INVALID,17.75753,1,0.0076504403100444,0,-1.0,-1.0,-1.0,-1.0
34,34,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
35,35,lulesh,INVALID,17.474159,1,0.00015020009323052,0,-1.0,-1.0,-1.0,-1.0
36,36,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
37,37,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
38,38,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
39,39,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
40,40,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
41,41,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
42,42,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
43,43,lulesh,VALID,17.614838999999996,1,7.0464571763296e-05,1,-1.0,-1.0,-1.0,-1.0
44,44,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
45,45,lulesh,INVALID,16.212436,1,0.00016917361790547,0,-1.0,-1.0,-1.0,-1.0
46,46,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
47,47,lulesh,VALID,16.029553,1,3.4560798667371e-11,1,-1.0,-1.0,-1.0,-1.0
48,48,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
49,49,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
50,50,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
51,51,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
52,52,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
53,53,lulesh,INVALID,16.159325,1,0.0076519066351466,0,-1.0,-1.0,-1.0,-1.0
54,54,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
55,55,lulesh,INVALID,0.747053,1,0.0,0,-1.0,-1.0,-1.0,-1.0
56,56,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
57,57,lulesh,INVALID,15.682416,1,0.00079951788620747,0,-1.0,-1.0,-1.0,-1.0
58,58,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
59,59,lulesh,VALID,15.901996399999998,1,3.2560268209636e-05,1,-1.0,-1.0,-1.0,-1.0
60,60,lulesh,INVALID,0.761042,1,0.0,0,-1.0,-1.0,-1.0,-1.0
61,61,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
62,62,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
63,63,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
64,64,lulesh,INVALID,0.768392,1,0.0,0,-1.0,-1.0,-1.0,-1.0
65,65,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
66,66,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
67,67,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
68,68,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
69,69,lulesh,INVALID,0.755747,1,0.0,0,-1.0,-1.0,-1.0,-1.0
70,70,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
71,71,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
72,72,lulesh,FAIL,9999.0,0,,0,-1.0,-1.0,-1.0,-1.0
73,73,lulesh,INVALID,15.09769,1,0.026845026192859,0,-1.0,-1.0,-1.0,-1.0
