,index,benchmark,label,runtime,runtime_label,error,error_label,runtime_pred,error_pred
0,0,mg,VALID,1.2475134,0, 2.4333653090693E-06,1,-1.0,-1.0
1,1,mg,FAIL,9999.0,0,,0,-1.0,-1.0
2,2,mg,FAIL,9999.0,0,,0,-1.0,-1.0
3,3,mg,INVALID,1.23827,1, 1.2111287796870E-03,0,-1.0,-1.0
4,4,mg,FAIL,9999.0,0,,0,-1.0,-1.0
5,5,mg,INVALID,2.143082,0, 1.0918300831690E-03,0,-1.0,-1.0
6,6,mg,FAIL,9999.0,0,,0,-1.0,-1.0
7,7,mg,INVALID,1.227905,1,                 NAN,0,-1.0,-1.0
8,8,mg,INVALID,1.230249,1, 1.4475758653134E-03,0,-1.0,-1.0
9,9,mg,INVALID,1.081773,1, 0.0000000000000E+00,0,-1.0,-1.0
10,10,mg,INVALID,1.231038,1, 0.0000000000000E+00,0,-1.0,-1.0
11,11,mg,INVALID,1.081297,1, 1.9178707257761E-03,0,-1.0,-1.0
12,12,mg,FAIL,9999.0,0,,0,-1.0,-1.0
13,13,mg,INVALID,1.178148,1,                 NAN,0,-1.0,-1.0
14,14,mg,FAIL,9999.0,0,,0,-1.0,-1.0
15,15,mg,INVALID,1.576892,0,                -NAN,0,-1.0,-1.0
16,16,mg,FAIL,9999.0,0,,0,-1.0,-1.0
17,17,mg,INVALID,1.113099,1,                 NAN,0,-1.0,-1.0
18,18,mg,FAIL,9999.0,0,,0,-1.0,-1.0
19,19,mg,INVALID,1.20609,1,                -NAN,0,-1.0,-1.0
20,20,mg,INVALID,1.267704,1, 7.5925011200000E+08,0,-1.0,-1.0
21,21,mg,FAIL,9999.0,0,,0,-1.0,-1.0
22,22,mg,INVALID,1.15447,1, 0.0000000000000E+00,0,-1.0,-1.0
23,23,mg,INVALID,1.093396,1, 1.5864840781192E-06,0,-1.0,-1.0
24,24,mg,INVALID,1.540519,0, 0.0000000000000E+00,0,-1.0,-1.0
25,25,mg,INVALID,1.091205,1, 5.7553180706611E-06,0,-1.0,-1.0
26,26,mg,FAIL,9999.0,0,,0,-1.0,-1.0
27,27,mg,INVALID,1.081926,1, 2.2699526460269E-04,0,-1.0,-1.0
28,28,mg,FAIL,9999.0,0,,0,-1.0,-1.0
29,29,mg,INVALID,8.30825,0, 1.4009505510330E+00,0,-1.0,-1.0
30,30,mg,FAIL,9999.0,0,,0,-1.0,-1.0
31,31,mg,INVALID,9.813421,0,                -NAN,0,-1.0,-1.0
32,32,mg,FAIL,9999.0,0,,0,-1.0,-1.0
33,33,mg,INVALID,1.049568,1,                -NAN,0,-1.0,-1.0
34,34,mg,FAIL,9999.0,0,,0,-1.0,-1.0
35,35,mg,INVALID,4.911588,0, 3.8036115346480E+29,0,-1.0,-1.0
36,36,mg,FAIL,9999.0,0,,0,-1.0,-1.0
37,37,mg,INVALID,1.091839,1,                 NAN,0,-1.0,-1.0
38,38,mg,FAIL,9999.0,0,,0,-1.0,-1.0
39,39,mg,VALID,1.1444805,1, 2.4333653527719E-06,1,-1.0,-1.0
40,40,mg,FAIL,9999.0,0,,0,-1.0,-1.0
41,41,mg,INVALID,1.188973,1,                -NAN,0,-1.0,-1.0
42,42,mg,FAIL,9999.0,0,,0,-1.0,-1.0
43,43,mg,INVALID,1.119387,1, 1.5390320854825E-04,0,-1.0,-1.0
44,44,mg,INVALID,1.153421,1, 0.0000000000000E+00,0,-1.0,-1.0
45,45,mg,FAIL,9999.0,0,,0,-1.0,-1.0
46,46,mg,FAIL,9999.0,0,,0,-1.0,-1.0
47,47,mg,INVALID,1.08552,1, 4.6818145127208E-06,0,-1.0,-1.0
48,48,mg,FAIL,9999.0,0,,0,-1.0,-1.0
49,49,mg,INVALID,1.080082,1, 3.8228743715899E-06,0,-1.0,-1.0
50,50,mg,INVALID,1.142197,1, 0.0000000000000E+00,0,-1.0,-1.0
51,51,mg,INVALID,1.080785,1, 2.4039413562684E-06,0,-1.0,-1.0
52,52,mg,FAIL,9999.0,0,,0,-1.0,-1.0
53,53,mg,INVALID,1.069417,1, 2.0101534702689E-04,0,-1.0,-1.0
54,54,mg,FAIL,9999.0,0,,0,-1.0,-1.0
55,55,mg,VALID,1.2201266,1, 2.4333653090693E-06,1,-1.0,-1.0
56,56,mg,FAIL,9999.0,0,,0,-1.0,-1.0
57,57,mg,INVALID,1.226235,1, 1.2111287796870E-03,0,-1.0,-1.0
58,58,mg,FAIL,9999.0,0,,0,-1.0,-1.0
59,59,mg,INVALID,1.948669,0, 1.0918300831690E-03,0,-1.0,-1.0
60,60,mg,FAIL,9999.0,0,,0,-1.0,-1.0
61,61,mg,INVALID,1.210434,1,                 NAN,0,-1.0,-1.0
62,62,mg,INVALID,1.445089,0, 1.4475758653134E-03,0,-1.0,-1.0
63,63,mg,INVALID,1.077745,1, 0.0000000000000E+00,0,-1.0,-1.0
64,64,mg,INVALID,1.231758,1, 0.0000000000000E+00,0,-1.0,-1.0
65,65,mg,INVALID,1.065609,1, 1.9178707152605E-03,0,-1.0,-1.0
66,66,mg,FAIL,9999.0,0,,0,-1.0,-1.0
67,67,mg,INVALID,1.07757,1,                 NAN,0,-1.0,-1.0
68,68,mg,FAIL,9999.0,0,,0,-1.0,-1.0
69,69,mg,INVALID,1.565242,0,                -NAN,0,-1.0,-1.0
70,70,mg,FAIL,9999.0,0,,0,-1.0,-1.0
71,71,mg,INVALID,1.113418,1,                 NAN,0,-1.0,-1.0
72,72,mg,FAIL,9999.0,0,,0,-1.0,-1.0
73,73,mg,INVALID,1.221542,1, 1.5386108134408E-04,0,-1.0,-1.0
74,74,mg,INVALID,1.15205,1, 0.0000000000000E+00,0,-1.0,-1.0
