,index,benchmark,label,runtime,runtime_label,error,error_label,runtime_pred,error_pred
0,0,cg,VALID,1.3796623,0, 1.7130235054030E+01,1,-1.0,-1.0
1,1,cg,INVALID,1.22919,1,                 INF,0,-1.0,-1.0
2,2,cg,INVALID,1.246773,1,                 NAN,0,-1.0,-1.0
3,3,cg,INVALID,3.458552,0, 1.9643390655518E+01,0,-1.0,-1.0
4,4,cg,INVALID,1.260515,1,                 INF,0,-1.0,-1.0
5,5,cg,VALID,3.7407763999999992,0, 1.7130235671997E+01,1,-1.0,-1.0
6,6,cg,INVALID,1.234067,1,                 NAN,0,-1.0,-1.0
7,7,cg,INVALID,1.482456,0, 1.9999999999266E+01,0,-1.0,-1.0
8,8,cg,INVALID,1.247386,1,                 NAN,0,-1.0,-1.0
9,9,cg,INVALID,1.253524,1, 1.3276475971356E+00,0,-1.0,-1.0
10,10,cg,INVALID,8.224178,0, 2.0361274719238E+01,0,-1.0,-1.0
11,11,cg,INVALID,1.195731,1,                 NAN,0,-1.0,-1.0
12,12,cg,INVALID,1.249275,1,                 INF,0,-1.0,-1.0
13,13,cg,VALID,1.1302891000000002,1, 1.7130235671997E+01,1,-1.0,-1.0
14,14,cg,INVALID,1.252845,1,                 INF,0,-1.0,-1.0
15,15,cg,VALID,3.4485325,0, 1.7130235034354E+01,1,-1.0,-1.0
16,16,cg,INVALID,1.250736,1,                 INF,0,-1.0,-1.0
17,17,cg,VALID,1.2884674,1, 1.7130235054030E+01,1,-1.0,-1.0
18,18,cg,INVALID,1.249337,1,                 NAN,0,-1.0,-1.0
19,19,cg,INVALID,1.277844,1, 2.0057244899354E+01,0,-1.0,-1.0
20,20,cg,INVALID,1.247557,1,                 INF,0,-1.0,-1.0
21,21,cg,INVALID,1.293727,1, 1.3276190224449E+00,0,-1.0,-1.0
22,22,cg,INVALID,1.291916,1,                 INF,0,-1.0,-1.0
23,23,cg,INVALID,6.175587,0, 1.2650105652298E+01,0,-1.0,-1.0
24,24,cg,INVALID,6.903716,0, 1.9575597763062E+01,0,-1.0,-1.0
25,25,cg,INVALID,1.455687,0,                 NAN,0,-1.0,-1.0
26,26,cg,INVALID,1.458664,0,                 NAN,0,-1.0,-1.0
